probe_id,GI-78,GI-91,GI-94,GI-95,GI-100,GI-103,GI-113,GI-121,GI-135,GI-142,GC-92,GC-94,GC-95,GC-109,GC-117,GC-121,GC-131,GC-133,GC-136,GC-138
ASHGA5P013624,8.675863,7.8859935,9.51159,7.5737004,8.501853,7.6981025,8.572168,9.060532,9.114994,8.605399,6.8280053,6.885005,8.1016445,7.0620565,7.063169,8.487055,6.8192854,7.347869,6.9925456,8.488843
ASHGA5P013717,6.3290453,6.1261587,6.142664,5.5013313,6.2000365,5.583801,5.890142,4.9718623,4.3424864,6.3932743,5.9065833,5.7260113,6.0867376,5.7864184,5.784379,8.290682,5.534799,5.901265,5.7344375,8.352662
ASHGA5P013840,5.9314775,5.4473357,5.8430614,4.897239,5.275067,4.7741857,5.4482856,4.708724,3.863683,5.839266,3.2461228,3.379923,7.166394,3.590389,4.7616587,5.766718,3.9448907,3.9147,4.6632996,5.9000096
ASHGA5P013874,5.0212016,4.99673,3.7853785,4.5263743,5.240389,4.7464805,5.4057026,3.9321795,3.9273794,5.0355043,4.2661676,4.616139,5.266376,4.1203456,4.4839883,4.546788,3.9797935,4.0568027,4.7347507,4.2411466
ASHGA5P013930,8.813115,8.159887,9.190239,7.8665895,8.669509,7.911898,8.594519,9.836896,9.820462,8.680461,7.440259,7.258662,9.227236,7.5170364,7.285728,9.210597,7.3321676,7.7897444,7.254,9.130719
ASHGA5P013966,8.402967,7.4769635,8.382274,7.539398,8.429657,7.619604,8.315487,8.808835,8.755893,8.23941,7.134475,7.442348,8.201898,7.206086,6.660367,8.318948,6.7890882,6.897545,6.626601,8.2622385
ASHGA5P013973,8.726061,7.835169,7.9008565,7.817676,8.717202,7.7208896,8.767177,7.7861567,7.722989,8.767741,7.5374703,7.210652,8.093706,7.395581,7.227916,7.957307,7.7776227,7.38801,7.274018,7.92088
ASHGA5P013985,4.568739,6.402059,2.4806867,6.387373,4.935951,6.441273,4.85427,3.4486334,3.4603672,5.3564653,5.771117,5.6280103,2.3551064,5.4013324,5.981989,3.308127,7.1769695,6.9522514,6.0397186,3.0223958
ASHGA5P014021,5.080534,5.2752414,6.628813,4.8701673,4.1929183,4.547676,4.6218033,7.423516,7.054362,5.610394,5.778243,5.5049186,5.6983075,5.890142,5.1888843,5.0378747,4.9596343,5.4981933,5.265598,4.9233284
ASHGA5P014025,5.5601997,5.6109357,6.760661,5.257741,4.8764772,5.1612444,5.300059,5.8778715,5.8828764,5.643924,4.192214,5.0730014,5.8032565,4.60126,4.276761,4.7490425,3.839272,4.1924076,4.357077,5.229897
